productId,productName
5ed67c50cb07110fd03bc9f3,White Forest  (1 Lbs)
5ed67c50cb07110fd03bc9f4,White Forest (2 Lbs)
5ed67c50cb07110fd03bc9f5,Chocolate Forest
5ed67c50cb07110fd03bc9f6,Chocolate Chip
5ed67c50cb07110fd03bc9f7,Coffee Crunch Cake
5ed67c50cb07110fd03bc9f8,Chocolate Fudge (1 Lbs)
5ed67c50cb07110fd03bc9f9,Double Fudge
5ed67c50cb07110fd03bc9fa,Malt Cake (1 Lbs)
5ed67c50cb07110fd03bc9fb,Malt Cake (2 Lbs)
5ed67c50cb07110fd03bc9fc,Chocolate Cream (1 Lbs)
5ed67c50cb07110fd03bc9fd,Chocolate Cream (3 Lbs)
5ed67c50cb07110fd03bc9fe,Maltesers
5ed67c50cb07110fd03bc9ff,Choco Cake
5ed67c50cb07110fd03bca00,Cadbury (1 Lbs)
5ed67c50cb07110fd03bca01,Cadbury (2 Lbs)
5ed67c50cb07110fd03bca02,Cadbury (3 Lbs)
5ed67c50cb07110fd03bca03,Nutella Cake
5ed67c50cb07110fd03bca04,Cake Slice
5ed67c50cb07110fd03bca05,Kit Kat Cream Cake
5ed67c50cb07110fd03bca06,Red Velvet (2 Lbs)
5ed67c50cb07110fd03bca07,Chocolate Fudge (2 Lbs)
5ed67c50cb07110fd03bca08,Fudge Brownie
5ed67c50cb07110fd03bca09,Lave Brownie
5ed67c50cb07110fd03bca0a,Cadbury Brownie
5ed67c50cb07110fd03bca0b,Expresso Coffee
5ed67c50cb07110fd03bca0c,Choc-lolly Pop
5ed67c50cb07110fd03bca0d,Chocolate Glass
5ed67c50cb07110fd03bca0e,Chocolate Cookies
5ed67c50cb07110fd03bca0f,Nutella Cookies
5ed67c50cb07110fd03bca10,Biscuits
5ed67c50cb07110fd03bca11,Chip Muffins
5ed67c50cb07110fd03bca12,Red Velvet Muffin
5ed67c50cb07110fd03bca13,Snikers Muffins
5ed67c50cb07110fd03bca14,Mix Special Platter
5ed67c50cb07110fd03bca15,Chili Garlic Prawns
5ed67c50cb07110fd03bca16,Shrimp Cocktail
5ed67c50cb07110fd03bca17,Prawn Tempura
5ed67c50cb07110fd03bca18,Stuffed Chicken Strips
5ed67c50cb07110fd03bca19,Chicken Nachos Supreme
5ed67c50cb07110fd03bca1a,Supreme Nachos
5ed67c50cb07110fd03bca1b,Mozzarella Cheese Sticks
5ed67c50cb07110fd03bca1c,Wasabi Prawns
5ed67c50cb07110fd03bca1d,Hummus Beirut With Za'taar
5ed67c50cb07110fd03bca1e,Breading Chicken Finger
5ed67c50cb07110fd03bca1f,Crunchy Fried Fish
5ed67c50cb07110fd03bca20,Crisp Fish Bowl
5ed67c50cb07110fd03bca21,Buffalo Chicken Bites
5ed67c50cb07110fd03bca22,Mexican Quesadilla
5ed67c50cb07110fd03bca23,Juicy Wings
5ed67c50cb07110fd03bca24,Fries
5ed67c50cb07110fd03bca25,Cheese Fries
5ed67c50cb07110fd03bca26,Masala  Fries
5ed67c50cb07110fd03bca27,Jalapeno Fries
5ed67c50cb07110fd03bca28,Chicken Karahi
5ed67c50cb07110fd03bca29,Chicken White Karahi
5ed67c50cb07110fd03bca2a,Mutton Karahi
5ed67c50cb07110fd03bca2b,Chicken Tikka Masala
5ed67c50cb07110fd03bca2c,Chicken Achari Karahi
5ed67c50cb07110fd03bca2d,Chicken Handi
5ed67c50cb07110fd03bca2e,Chicken White Butter Handi
5ed67c50cb07110fd03bca2f,Chicken Achari Handi
5ed67c50cb07110fd03bca30,Chicken Ginger
5ed67c50cb07110fd03bca31,Chicken Brown Dry
5ed67c50cb07110fd03bca32,Mutton Brown Dry
5ed67c50cb07110fd03bca33,Paneer Karahi
5ed67c50cb07110fd03bca34,Bhindi Masala
5ed67c50cb07110fd03bca35,Paneer Shashlik
5ed67c50cb07110fd03bca36,Paneer Mushroom Karahi
5ed67c50cb07110fd03bca37,Aloo Achari
5ed67c50cb07110fd03bca38,Daal Makhni
5ed67c50cb07110fd03bca39,Daal Tarka
5ed67c50cb07110fd03bca3a,Mix Vegetables
5ed67c50cb07110fd03bca3b,Vegetable Cutlets
5ed67c50cb07110fd03bca3c,Chef Special Chicken
5ed67c50cb07110fd03bca3d,Chicken Tournedos
5ed67c50cb07110fd03bca3e,Dajaj Mashwi
5ed67c50cb07110fd03bca3f,Moroccan Chicken
5ed67c50cb07110fd03bca40,Tarragon Chicken
5ed67c50cb07110fd03bca41,Grand Mustard Chicken
5ed67c50cb07110fd03bca42,Chicken Fizelo
5ed67c50cb07110fd03bca43,Takeni Chicken
5ed67c50cb07110fd03bca44,Blue Cheese Chicken
5ed67c50cb07110fd03bca45,Nandos Peri Peri Chicken
5ed67c50cb07110fd03bca46,Parmesan Chicken
5ed67c50cb07110fd03bca47,Avocado Chicken
5ed67c50cb07110fd03bca48,Schelleto Mushroom Chicken
5ed67c50cb07110fd03bca49,Chicken Sizzling Fajita
5ed67c50cb07110fd03bca4a,Mexican Sizzling Chicken
5ed67c50cb07110fd03bca4b,Moskava Chicken Valentino
5ed67c50cb07110fd03bca4c,Balck Pepper Corn Chicken
5ed67c50cb07110fd03bca4d,Chicken Sanizo
5ed67c50cb07110fd03bca4e,Mexican Chicken
5ed67c50cb07110fd03bca4f,Chicken Stroganoff
5ed67c50cb07110fd03bca50,Fish Chili Dry
5ed67c50cb07110fd03bca51,Chicken Chili Red
5ed67c50cb07110fd03bca52,Paneer Chili Red
5ed67c50cb07110fd03bca53,Chicken Manchurian
5ed67c50cb07110fd03bca54,Chicken Chili Vegetable
5ed67c50cb07110fd03bca55,Chicken Noodles
5ed67c50cb07110fd03bca56,Vegetables Noodles
5ed67c50cb07110fd03bca57,Chicken Shashlik
5ed67c50cb07110fd03bca58,Chicken Jalafarezi
5ed67c50cb07110fd03bca59,Chef Special Burger
5ed67c50cb07110fd03bca5a,Grilled Chicken Cheese Burger
5ed67c50cb07110fd03bca5b,Hot & Spicy Burger
5ed67c50cb07110fd03bca5c,Mushroom Cheese Burger
5ed67c50cb07110fd03bca5d,Le cordon Burger
5ed67c50cb07110fd03bca5e,Grilled Jalapeno Burger
5ed67c50cb07110fd03bca5f,Zinger Burger
5ed67c50cb07110fd03bca60,Big Mouth Burger
5ed67c50cb07110fd03bca61,Chef Special Sandwich
5ed67c50cb07110fd03bca62,Club Sandwich
5ed67c50cb07110fd03bca63,Grilled Chicken Sandwich
5ed67c50cb07110fd03bca64,Greek Chicken & Lemon Soup
5ed67c50cb07110fd03bca65,Seafood Chowder Soup
5ed67c50cb07110fd03bca66,Hot & Sour Soup
5ed67c50cb07110fd03bca67,Pure Vegetable Soup
5ed67c50cb07110fd03bca68,Chicken Corn Soup
5ed67c50cb07110fd03bca69,Mix Bar B Q Platter
5ed67c50cb07110fd03bca6a,Chicken Reshmi Kabab
5ed67c50cb07110fd03bca6b,Chicken Turkish Kabab
5ed67c50cb07110fd03bca6c,Afghani Kabab
5ed67c50cb07110fd03bca6d,Vegetable Kabab
5ed67c50cb07110fd03bca6e,Chicken Bar B Q Shashlik
5ed67c50cb07110fd03bca6f,Chicken Shimla Boti
5ed67c50cb07110fd03bca70,Chicken Spicy Boti
5ed67c50cb07110fd03bca71,Chicken Kasoori Boti
5ed67c50cb07110fd03bca72,Chicken Malai Boti
5ed67c50cb07110fd03bca73,Chicken Bihari Boti
5ed67c50cb07110fd03bca74,Malai Chicken Tikka
5ed67c50cb07110fd03bca75,Mughlai Chicken Tikka
5ed67c50cb07110fd03bca76,Spicy Chicken Tikka
5ed67c50cb07110fd03bca77,Namkeen Tikka
5ed67c50cb07110fd03bca78,Mutton Chops
5ed67c50cb07110fd03bca79,Fish Tikka
5ed67c50cb07110fd03bca7a,Steamed Fish
5ed67c50cb07110fd03bca7b,Grilled Whole Fish
5ed67c50cb07110fd03bca7c,Plain Paratha
5ed67c50cb07110fd03bca7d,Puri Paratha
5ed67c50cb07110fd03bca7e,Cheese Paratha
5ed67c50cb07110fd03bca7f,Aloo Paratha
5ed67c50cb07110fd03bca80,Chicken Paratha
5ed67c50cb07110fd03bca81,Peas Pulao
5ed67c50cb07110fd03bca82,Chicken Pulao
5ed67c50cb07110fd03bca83,Vegetable Fried Rice
5ed67c50cb07110fd03bca84,Chicken Fried Rice
5ed67c50cb07110fd03bca85,Plain Rice
5ed67c50cb07110fd03bca86,Chef Special Chicken Pizza
5ed67c50cb07110fd03bca87,Tomato & Cheese Pizza
5ed67c50cb07110fd03bca88,Jalapeno Chicken Cheese Pizza
5ed67c50cb07110fd03bca89,Chicken Tikka Pizza
5ed67c50cb07110fd03bca8a,Chicken Supreme Pizza
5ed67c50cb07110fd03bca8b,Chicken Cheese Lasagna
5ed67c50cb07110fd03bca8c,Penne Puttanesca Pasta
5ed67c50cb07110fd03bca8d,Chicken Pesto Pasta
5ed67c50cb07110fd03bca8e,Roasted Garlic Parmesan Pasta
5ed67c50cb07110fd03bca8f,Spicy Alfredo Pasta
5ed67c50cb07110fd03bca90,Chicken Chatni Roll
5ed67c50cb07110fd03bca91,Shimla Boti Roll
5ed67c50cb07110fd03bca92,Mughlai Roll
5ed67c50cb07110fd03bca93,Chicken Bihari Roll
5ed67c50cb07110fd03bca94,Cream Of Mushroom & Chicken
5ed67c50cb07110fd03bca95,Grill Chicken Caesar Salad
5ed67c50cb07110fd03bca96,Chicken & Buffalo Sauce Salad
5ed67c50cb07110fd03bca97,Fruit Cocktail Salad
5ed67c50cb07110fd03bca98,Mix Green Salad
5ed67c50cb07110fd03bca99,Raita
5ed67c50cb07110fd03bca9a,Pina Colada
5ed67c50cb07110fd03bca9b,Blue Colada
5ed67c50cb07110fd03bca9c,Jamaican Jammer
5ed67c50cb07110fd03bca9d,Cinderella
5ed67c50cb07110fd03bca9e,Orange Ohio
5ed67c50cb07110fd03bca9f,Fresh Mint Lemonade
5ed67c50cb07110fd03bcaa0,Lemonade
5ed67c50cb07110fd03bcaa1,Margarita
5ed67c50cb07110fd03bcaa2,Frozen Smoothie
5ed67c50cb07110fd03bcaa3,Chocolate Shake
5ed67c50cb07110fd03bcaa4,Oreo Shake
5ed67c50cb07110fd03bcaa5,Seasonal Milk Shake
5ed67c50cb07110fd03bcaa6,Seasonal Fresh Juice
5ed67c50cb07110fd03bcaa7,Soft Drinks
5ed67c50cb07110fd03bcaa8,Sting
5ed67c50cb07110fd03bcaa9,Diet Drinks
5ed67c50cb07110fd03bcaaa,Red Bull
5ed67c50cb07110fd03bcaab,Club Soda
5ed67c50cb07110fd03bcaac,Mineral Water
5ed67c50cb07110fd03bcaad,Speghetti Chili Prawn
5ed67c50cb07110fd03bcaae,Penne Tabasco Pasta
5ed67c50cb07110fd03bcaaf,Stuffed Chicken
